vol.	page	pancika	adhyaya	from kandika	to kandika.	ipage
I	98	1	1	1	2a	1
I	99	1	1	2b	3	2
I	100	1	1	4	5a	3
I	101	1	1	5b	6	4
I	101	1	2	7a	7a	4
I	102	1	2	7b	8a	5
I	103	1	2	8b	10a	6
I	104	1	2	10b	11a	7
I	105	1	2	11b	11b	8
I	105	1	3	12	13a	8
I	106	1	3	13b	13b	9
I	107	1	3	13c	14a	10
I	108	1	3	14b	16a	11
I	109	1	3	16b	16b	12
I	110	1	3	16c	17	13
I	110	1	4	18	18a	13
I	111	1	4	18b	20a	14
I	112	1	4	20b	22a	15
I	113	1	4	22b	22b	16
I	114	1	4	22c	23a	17
I	115	1	4	23b	25a	18
I	116	1	4	25b	26	19
I	117	1	5	27	28a	20
I	118	1	5	28b	28b	21
I	119	1	5	28c	29a	22
I	120	1	5	29b	30a	23
I	121	1	5	30b	30b	24
I	122	2	1	1	1	25
I	123	2	1	2	2a	26
I	124	2	1	2b	3a	27
I	125	2	1	3b	4a	28
I	126	2	1	4b	6a	29
I	127	2	1	6b	7a	30
I	128	2	1	7b	8a	31
I	129	2	1	8b	10a	32
I	130	2	1	10b	10b	33
I	130	2	2	11	11a	33
I	131	2	2	11b	13a	34
I	132	2	2	13b	14a	35
I	133	2	2	14b	16a	36
I	134	2	2	16b	17a	37
I	135	2	2	17b	18a	38
I	136	2	2	18b	18b	39
I	136	2	3	19	19	39
I	137	2	3	20	20a	40
I	138	2	3	20b	22a	41
I	139	2	3	22b	24a	42
I	140	2	3	24b	24b	43
I	140	2	4	25	25a	43
I	141	2	4	25b	27a	44
I	142	2	4	27b	29a	45
I	143	2	4	29b	31a	46
I	144	2	4	31b	32a	47
I	145	2	4	32b	32b	48
I	145	2	5	33	34a	48
I	146	2	5	34b	36a	49
I	147	2	5	36b	37a	50
I	148	2	5	37b	38a	51
I	149	2	5	38b	40a	52
I	150	2	5	40b	41a	53
I	151	2	5	41b	41b	54
I	151	3	1	1	2a	54
I	152	3	1	2b	3a	55
I	153	3	1	3b	4a	56
I	154	3	1	4b	6a	57
I	155	3	1	6b	8a	58
I	156	3	1	8b	10a	59
I	157	3	1	10b	11a	60
I	158	3	1	11b	11b	61
I	158	3	2	12	12	61
I	159	3	2	13	14	62
I	160	3	2	15	17a	63
I	161	3	2	17b	18a	64
I	162	3	2	18b	19	65
I	163	3	2	20	21a	66
I	164	3	2	21b	22	67
I	165	3	2	23	24a	68
I	166	3	2	24b	24b	69
I	166	3	2	24c	24c	69
I	166	3	3	25	26a	69
I	167	3	3	26b	28a	70
I	168	3	3	28b	29a	71
I	169	3	3	29b	31a	72
I	170	3	3	31b	32	73
I	171	3	3	33	34a	74
I	172	3	3	34b	36a	75
I	173	3	3	36b	37a	76
I	174	3	3	37b	38	77
I	174	3	4	39	39a	77
I	175	3	4	39b	40a	78
I	176	3	4	40b	42a	79
I	177	3	4	42b	44a	80
I	178	3	4	44b	44b	81
I	178	3	5	45	45a	81
I	179	3	5	45b	46a	82
I	180	3	5	46b	48a	83
I	181	3	5	48b	49a	84
I	182	3	5	49b	50	85
I	183	4	1	1	2a	86
I	184	4	1	2b	3	87
I	185	4	1	4	4a	88
I	186	4	1	4b	6a	89
I	187	4	1	6b	6b	90
I	187	4	2	7	7a	90
I	188	4	2	7b	9a	91
I	189	4	2	9b	10a	92
I	190	4	2	10b	11a	93
I	191	4	2	11b	13a	94
I	192	4	2	13b	14a	95
I	193	4	2	14b	14b	96
I	193	4	3	15	16a	96
I	194	4	3	16b	18a	97
I	195	4	3	18b	19a	98
I	196	4	3	19b	20a	99
I	197	4	3	20b	22a	100
I	198	4	3	22b	22b	101
I	198	4	4	23	23a	101
I	199	4	4	23b	25a	102
I	200	4	4	25b	26a	103
I	201	4	4	26b	27a	104
I	202	4	4	27b	28a	105
I	203	4	4	28b	28b	106
I	203	4	5	29	29	106
I	204	4	5	30	30a	107
I	205	4	5	30b	32a	108
I	206	4	5	32b	32b	109
I	206	5	1	1	1a	109
I	207	5	1	1b	1b	110
I	208	5	1	1c	2a	111
I	209	5	1	2b	3a	112
I	210	5	1	3b	4a	113
I	211	5	1	4b	5a	114
I	212	5	1	5b	5b	115
I	212	5	2	6	6a	115
I	213	5	2	6b	7a	116
I	214	5	2	7b	8a	117
I	215	5	2	8b	10	118
I	216	5	2	11	12a	119
I	217	5	2	12b	13a	120
I	218	5	2	13b	14a	121
I	219	5	2	14b	15a	122
I	220	5	2	15b	15b	123
I	220	5	3	16	16a	123
I	221	5	3	16b	17a	124
I	222	5	3	17b	18a	125
I	223	5	3	18b	18b	126
I	224	5	3	18c	19a	127
I	225	5	3	19b	19b	128
